date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:21	919/919	---M--	200	added ('OK')	application/x-subrip	date:Wed,%2013%20Sep%202017%2011:57:07%20GMT	http://ethicsfordesign.com/content/5-player/_layout-changes.srt	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/_layout-changes.srt	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:24	68095/68095	---M--	200	added ('OK')	application/x-subrip	date:Fri,%2015%20Sep%202017%2014:56:53%20GMT	http://ethicsfordesign.com/content/5-player/_subtitles-en.srt	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/_subtitles-en.srt	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:24	40673/40673	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:27:21%20GMT	http://ethicsfordesign.com/fr/regarder	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/fr/regarder.html	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:24	556/556	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Sep%202017%2012:01:49%20GMT	http://ethicsfordesign.com/content/5-player/volume-icon.svg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/volume-icon.svg	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:27	73407/73407	---M--	200	added ('OK')	application/x-subrip	date:Fri,%2029%20Sep%202017%2013:34:36%20GMT	http://ethicsfordesign.com/content/5-player/_subtitles-fr.srt	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/_subtitles-fr.srt	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:44	426626/426626	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202017%2014:57:08%20GMT	http://ethicsfordesign.com/content/3-about/1-why/why.jpg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/3-about/1-why/why.jpg	(from http://ethicsfordesign.com/fr)
16:27:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202017%2014:27:42%20GMT	http://ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.ogv	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.2f.delayed	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:46	12501/12501	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Sep%202017%2009:37:43%20GMT	http://ethicsfordesign.com/assets/js/dist/player.min.1506073063.js	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/js/dist/player.min.1506073063.js	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:46	0/-1	---M--	302	error ('')			http://ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.ogv	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.31.delayed	(from http://ethicsfordesign.com/fr/lecteur?lang=fr)
16:27:49	18085/18085	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Sep%202017%2015:47:35%20GMT	http://ethicsfordesign.com/_analytics/plugins/CoreHome/images/favicon.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/plugins/CoreHome/images/favicon.png	(from http://ethicsfordesign.com/_analytics/)
16:27:49	1590/1590	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Sep%202017%2015:47:34%20GMT	http://ethicsfordesign.com/_analytics/plugins/CoreHome/images/applePinnedTab.svg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/plugins/CoreHome/images/applePinnedTab.svg	(from http://ethicsfordesign.com/_analytics/)
